Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Budget temp,Chrome 110.0.0.0,,,2023-03-13 21:21:29,2023-03-13 21:56:04,34m - 34.938s,FAILED
,,,,,,,
Test Cases/GiS/Budget Estimator/Budget_Estimator_1year,Chrome 110.0.0.0,,,2023-03-13 21:21:29,2023-03-13 21:25:41,4m - 11.622s,PASSED
gis_url.test.URL.redirectURL(),Chrome 110.0.0.0,,,2023-03-13 21:21:30,2023-03-13 21:21:34,4.476s,PASSED
delay(15),Chrome 110.0.0.0,,,2023-03-13 21:21:34,2023-03-13 21:21:49,15.024s,PASSED
"click(findTestObject(""EBP_Object/Page_Streetlogix/Menubar-icon""))",Chrome 110.0.0.0,,,2023-03-13 21:21:49,2023-03-13 21:22:19,30.175s,PASSED
delay(10),Chrome 110.0.0.0,,,2023-03-13 21:22:19,2023-03-13 21:22:29,10.008s,PASSED
"click(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/div_Budget Estimator""))",Chrome 110.0.0.0,,,2023-03-13 21:22:29,2023-03-13 21:22:37,7.910s,PASSED
"Asset = getText(findTestObject(""Compare Scenarios/div_Pavement Maintenance""))",Chrome 110.0.0.0,,,2023-03-13 21:22:37,2023-03-13 21:22:39,1.963s,PASSED
"Scenarioname = ""EST 1""",Chrome 110.0.0.0,,,2023-03-13 21:22:39,2023-03-13 21:22:39,0.000s,PASSED
"Totalyears = ""1""",Chrome 110.0.0.0,,,2023-03-13 21:22:39,2023-03-13 21:22:39,0.000s,PASSED
"Inflation = ""5""",Chrome 110.0.0.0,,,2023-03-13 21:22:39,2023-03-13 21:22:39,0.001s,PASSED
"sendKeys(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Scenario Name_scenarioName""), Keys.chord(COMMAND, ""a""))",Chrome 110.0.0.0,,,2023-03-13 21:22:39,2023-03-13 21:22:42,2.480s,PASSED
"sendKeys(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Scenario Name_scenarioName""), Keys.chord(DELETE))",Chrome 110.0.0.0,,,2023-03-13 21:22:42,2023-03-13 21:22:42,0.286s,PASSED
"setText(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Scenario Name_scenarioName""), Scenarioname)",Chrome 110.0.0.0,,,2023-03-13 21:22:42,2023-03-13 21:22:43,0.966s,PASSED
"sendKeys(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Program duration_programDuration""), Keys.chord(COMMAND, ""a""))",Chrome 110.0.0.0,,,2023-03-13 21:22:43,2023-03-13 21:22:43,0.388s,PASSED
"sendKeys(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Program duration_programDuration""), Keys.chord(DELETE))",Chrome 110.0.0.0,,,2023-03-13 21:22:43,2023-03-13 21:22:44,0.481s,PASSED
"setText(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Program duration_programDuration""), Totalyears)",Chrome 110.0.0.0,,,2023-03-13 21:22:44,2023-03-13 21:22:45,0.934s,PASSED
"AvgCI = getText(findTestObject(""EBP_Object/Page_Streetlogix/Average_condition_index""))",Chrome 110.0.0.0,,,2023-03-13 21:22:45,2023-03-13 21:22:45,0.471s,PASSED
AvgCIdouble = AvgCI.toDouble(),Chrome 110.0.0.0,,,2023-03-13 21:22:45,2023-03-13 21:22:45,0.002s,PASSED
AvgCIround = Math.round(AvgCIdouble),Chrome 110.0.0.0,,,2023-03-13 21:22:45,2023-03-13 21:22:45,0.004s,PASSED
TargetCI = AvgCIround + 1,Chrome 110.0.0.0,,,2023-03-13 21:22:45,2023-03-13 21:22:45,0.004s,PASSED
"Totalyear1 = Totalyears + "" Year""",Chrome 110.0.0.0,,,2023-03-13 21:22:45,2023-03-13 21:22:45,0.001s,PASSED
"InflationSummary = Inflation + ""%""",Chrome 110.0.0.0,,,2023-03-13 21:22:45,2023-03-13 21:22:45,0.000s,PASSED
"TargetCIfloat = TargetCI + "".00""",Chrome 110.0.0.0,,,2023-03-13 21:22:45,2023-03-13 21:22:45,0.001s,PASSED
"setText(findTestObject(""Object Repository/EBP_Object/Page_Streetlogix/input_Target Condition Index_target_rating""), $TargetCI)",Chrome 110.0.0.0,,,2023-03-13 21:22:45,2023-03-13 21:22:46,0.968s,PASSED
